date,time,location,service,keyword,local_pack_rank,organic_rank,status
2026-04-26,14:00:32,Birmingham,Private GP,private gp birmingham,,,Not found
2026-04-26,14:00:32,Sutton Coldfield,Private GP,private gp sutton coldfield,,,Not found
2026-04-26,14:00:33,London,Private GP,private gp london,,,Not found
2026-04-26,14:00:33,Newcastle,Private GP,private gp newcastle,,,Not found
2026-04-26,14:00:33,Leicester,Private GP,private gp leicester,,,Not found
2026-04-26,14:00:34,Bournemouth,Private GP,private gp bournemouth,,,Not found
2026-04-26,14:00:34,Oxford,Private GP,private gp oxford,,,Not found
2026-04-26,14:00:34,Derby,Private GP,private gp derby,,,Not found
2026-04-26,14:00:35,Birmingham,Hayfever Injection,hayfever injection birmingham,,,Not found
2026-04-26,14:00:35,Sutton Coldfield,Hayfever Injection,hayfever injection sutton coldfield,,,Not found
2026-04-26,14:00:35,London,Hayfever Injection,hayfever injection london,,,Not found
2026-04-26,14:00:35,Newcastle,Hayfever Injection,hayfever injection newcastle,,,Not found
2026-04-26,14:00:36,Leicester,Hayfever Injection,hayfever injection leicester,,,Not found
2026-04-26,14:00:36,Bournemouth,Hayfever Injection,hayfever injection bournemouth,,,Not found
2026-04-26,14:00:36,Oxford,Hayfever Injection,hayfever injection oxford,,,Not found
2026-04-26,14:00:37,Derby,Hayfever Injection,hayfever injection derby,,,Not found
